target,momentum_decile,si_decile,n,events,event_rate,momentum_row_n,momentum_row_event_rate,incremental_vs_momentum_row,incremental_lift_vs_momentum_row,overall_event_rate
down_7pct_5d,2,10,207,14,0.06763285024154589,3013,0.07865914371058745,-0.011026293469041562,0.8598218471636193,0.08431223321531385
down_7pct_5d,3,1,378,29,0.07671957671957672,3018,0.07886017229953611,-0.002140595579959395,0.9728558089902628,0.08431223321531385
down_7pct_5d,3,2,319,21,0.06583072100313479,3018,0.07886017229953611,-0.013029451296401318,0.8347777982666421,0.08431223321531385
down_7pct_5d,3,3,323,18,0.05572755417956656,3018,0.07886017229953611,-0.02313261811996955,0.7066628508988735,0.08431223321531385
down_7pct_5d,3,4,345,15,0.043478260869565216,3018,0.07886017229953611,-0.035381911429970894,0.5513335769090245,0.08431223321531385
down_7pct_5d,3,5,233,26,0.11158798283261803,3018,0.07886017229953611,0.03272781053308192,1.4150106394489128,0.08431223321531385
down_7pct_5d,3,6,281,22,0.07829181494661921,3018,0.07886017229953611,-0.0005683573529168956,0.9927928466760371,0.08431223321531385
down_7pct_5d,3,7,299,30,0.10033444816053512,3018,0.07886017229953611,0.02147427586099901,1.2723082544054412,0.08431223321531385
down_7pct_5d,3,8,280,12,0.04285714285714286,3018,0.07886017229953611,-0.03600302944239325,0.5434573829531814,0.08431223321531385
down_7pct_5d,3,9,337,44,0.13056379821958458,3018,0.07886017229953611,0.05170362592004847,1.655636735406329,0.08431223321531385
down_7pct_5d,3,10,223,21,0.09417040358744394,3018,0.07886017229953611,0.01531023128790783,1.1941440253231337,0.08431223321531385
down_7pct_5d,4,1,396,21,0.05303030303030303,3030,0.058745874587458745,-0.005715571557155713,0.9027068437180797,0.08431223321531385
down_7pct_5d,4,2,407,13,0.03194103194103194,3030,0.058745874587458745,-0.026804842646426803,0.5437153189962179,0.08431223321531385
down_7pct_5d,4,3,347,15,0.043227665706051875,3030,0.058745874587458745,-0.01551820888140687,0.7358417252209954,0.08431223321531385
down_7pct_5d,4,4,307,14,0.04560260586319218,3030,0.058745874587458745,-0.013143268724266563,0.7762690773341141,0.08431223321531385
down_7pct_5d,4,5,258,17,0.06589147286821706,3030,0.058745874587458745,0.0071455982807583154,1.1216357460151556,0.08431223321531385
down_7pct_5d,4,6,315,15,0.047619047619047616,3030,0.058745874587458745,-0.011126826968411128,0.8105939004815409,0.08431223321531385
down_7pct_5d,4,7,271,27,0.0996309963099631,3030,0.058745874587458745,0.04088512172250435,1.695965836062855,0.08431223321531385
down_7pct_5d,4,8,262,14,0.05343511450381679,3030,0.058745874587458745,-0.005310760083641952,0.9095977356548589,0.08431223321531385
down_7pct_5d,4,9,284,28,0.09859154929577464,3030,0.058745874587458745,0.0398456747083159,1.6782718784617818,0.08431223321531385
down_7pct_5d,4,10,183,14,0.07650273224043716,3030,0.058745874587458745,0.017756857652978415,1.3022656106096888,0.08431223321531385
down_7pct_5d,5,1,362,19,0.052486187845303865,3069,0.06516780710329098,-0.012681619257987116,0.8054005524861877,0.08431223321531385
down_7pct_5d,5,2,507,22,0.04339250493096647,3069,0.06516780710329098,-0.021775302172324512,0.6658579881656804,0.08431223321531385
down_7pct_5d,5,3,321,11,0.03426791277258567,3069,0.06516780710329098,-0.030899894330705314,0.525841121495327,0.08431223321531385
down_7pct_5d,5,4,309,20,0.06472491909385113,3069,0.06516780710329098,-0.00044288800943985407,0.9932038834951454,0.08431223321531385
down_7pct_5d,5,5,254,25,0.0984251968503937,3069,0.06516780710329098,0.033257389747102725,1.5103346456692912,0.08431223321531385
down_7pct_5d,5,6,343,21,0.061224489795918366,3069,0.06516780710329098,-0.003943317307372615,0.9394897959183672,0.08431223321531385
down_7pct_5d,5,7,303,29,0.09570957095709572,3069,0.06516780710329098,0.030541763853804735,1.4686633663366335,0.08431223321531385
down_7pct_5d,5,8,250,16,0.064,3069,0.06516780710329098,-0.0011678071032909798,0.98208,0.08431223321531385
down_7pct_5d,5,9,243,25,0.102880658436214,3069,0.06516780710329098,0.037712851332923014,1.5787037037037035,0.08431223321531385
down_7pct_5d,5,10,177,12,0.06779661016949153,3069,0.06516780710329098,0.002628803066200544,1.0403389830508474,0.08431223321531385
down_7pct_5d,6,1,306,18,0.058823529411764705,2973,0.06458123107971746,-0.005757701667952753,0.910845588235294,0.08431223321531385
down_7pct_5d,6,2,506,21,0.041501976284584984,2973,0.06458123107971746,-0.023079254795132474,0.6426321640316206,0.08431223321531385
down_7pct_5d,6,3,348,12,0.034482758620689655,2973,0.06458123107971746,-0.030098472459027803,0.5339439655172413,0.08431223321531385
down_7pct_5d,6,4,334,24,0.0718562874251497,2973,0.06458123107971746,0.00727505634543224,1.1126497005988023,0.08431223321531385
down_7pct_5d,6,5,232,16,0.06896551724137931,2973,0.06458123107971746,0.004384286161661852,1.0678879310344827,0.08431223321531385
down_7pct_5d,6,6,323,13,0.04024767801857585,2973,0.06458123107971746,-0.024333553061141606,0.6232101393188855,0.08431223321531385
down_7pct_5d,6,7,280,23,0.08214285714285714,2973,0.06458123107971746,0.017561626063139685,1.2719308035714285,0.08431223321531385
down_7pct_5d,6,8,208,20,0.09615384615384616,2973,0.06458123107971746,0.0315726150741287,1.4888822115384617,0.08431223321531385
down_7pct_5d,6,9,255,29,0.11372549019607843,2973,0.06458123107971746,0.04914425911636097,1.760968137254902,0.08431223321531385
