split,evaluation,prior_return_tail,si_tail,prior_return_signal,si_signal,target,base_n,high_si_n,other_si_n,high_si_events,other_si_events,high_si_event_rate,other_si_event_rate,event_rate_difference,event_rate_lift,target_difference,target_bootstrap_ci_low,target_bootstrap_ci_high,high_si_mean_return_1d,other_si_mean_return_1d,return_difference_1d,return_ci_low_1d,return_ci_high_1d,high_si_mean_return_3d,other_si_mean_return_3d,return_difference_3d,return_ci_low_3d,return_ci_high_3d,high_si_mean_return_5d,other_si_mean_return_5d,return_difference_5d,return_ci_low_5d,return_ci_high_5d,high_si_mean_return_10d,other_si_mean_return_10d,return_difference_10d,return_ci_low_10d,return_ci_high_10d,high_si_mean_return_20d,other_si_mean_return_20d,return_difference_20d,return_ci_low_20d,return_ci_high_20d
window_1,validation,0.05,0.2,price_momentum_5d,short_interest_change,down_10pct_5d,1542,81,1461,15,177,0.18518518518518517,0.12114989733059549,0.06403528785458969,1.5285624607658503,0.06403528785458969,-0.020281009962734808,0.15045504094100942,-0.014928142167458396,-0.0024242926522702805,-0.012503849515188115,-0.024486479726583216,-0.001094684738311757,-0.025162552517361724,-0.006393206387871086,-0.01876934612949064,-0.042718965940863336,0.004958563126862628,-0.03679623546383664,-0.0063299307701551065,-0.030466304693681532,-0.05759387313859625,-0.003499948272984643,-0.040505563806324724,-0.00592936967477969,-0.034576194131545036,-0.06491019845225289,-0.0030558875684975817,-0.03299199148830104,-0.000287462446283274,-0.03270452904201776,-0.08455207811367253,0.019591039798262242
window_1,validation,0.05,0.1,price_momentum_5d,short_interest_change,down_10pct_5d,1542,81,1461,15,177,0.18518518518518517,0.12114989733059549,0.06403528785458969,1.5285624607658503,0.06403528785458969,-0.015514487793748588,0.158669227064162,-0.014928142167458396,-0.0024242926522702805,-0.012503849515188115,-0.02424174287204415,-0.0004556920350088743,-0.025162552517361724,-0.006393206387871086,-0.01876934612949064,-0.042884346093794476,0.005655299962524859,-0.03679623546383664,-0.0063299307701551065,-0.030466304693681532,-0.05880061775152553,-0.004223329257609207,-0.040505563806324724,-0.00592936967477969,-0.034576194131545036,-0.06627704250908366,-0.0024602107229842033,-0.03299199148830104,-0.000287462446283274,-0.03270452904201776,-0.08559265436387617,0.020265842306170297
window_1,validation,0.05,0.05,price_momentum_5d,short_interest_change,down_10pct_5d,1542,80,1462,15,177,0.1875,0.1210670314637483,0.0664329685362517,1.548728813559322,0.0664329685362517,-0.01883165184678522,0.16099050957592323,-0.015136815976815826,-0.002421426677418429,-0.012715389299397396,-0.02438971780227673,-0.0003897597246258763,-0.02548444214212687,-0.006388430858560743,-0.019096011283566125,-0.04298745244274917,0.004567421399975066,-0.03752840826734289,-0.00631070538056084,-0.03121770288678205,-0.05928239967158243,-0.004866884948121862,-0.040805880713118324,-0.00593658639269218,-0.034869294320426146,-0.06519167540299053,-0.004328065686013693,-0.031072137255430555,-0.0004148857483842688,-0.030657251507046287,-0.0833444183225776,0.02198554800676138
window_1,validation,0.05,0.025,price_momentum_5d,short_interest_change,down_10pct_5d,1542,58,1484,11,181,0.1896551724137931,0.12196765498652291,0.06768751742727018,1.5549628500666792,0.06768751742727018,-0.02865391765033925,0.17383818198717346,-0.015349904494679278,-0.0026016014958487946,-0.012748302998830483,-0.025420157937644683,-6.114273345957547e-05,-0.021351072831841813,-0.0068330721444333775,-0.014518000687408435,-0.044321444564389335,0.016364115516738987,-0.029425408829777327,-0.007090195563099926,-0.022335213266677402,-0.05626373058978931,0.008871091815404963,-0.02712804147886448,-0.006988095254306802,-0.02013994622455768,-0.05529551410781385,0.014088008913875946,0.001462637858034024,-0.002140948073004191,0.0036035859310382147,-0.061577334577388,0.06692975241348653
window_1,validation,0.05,0.01,price_momentum_5d,short_interest_change,down_10pct_5d,1542,28,1514,5,187,0.17857142857142858,0.12351387054161163,0.05505755802981695,1.4457601222307104,0.05505755802981695,-0.06663285525570863,0.20522976033213788,-0.00024826030795957216,-0.0031335005230568964,0.0028852402150973244,-0.015297502395528698,0.021559516476673327,0.009934131056202682,-0.007699337487555899,0.01763346854375858,-0.028373240949412567,0.06571119499863828,-0.0025717214265171813,-0.008029402726436522,0.00545768129991934,-0.0483817252616116,0.05819485848097428,0.012254450161902786,-0.008115511471399411,0.020369961633302198,-0.035281142415907255,0.07526445348959804,0.05000566076553562,-0.002967300162488271,0.05297296092802389,-0.050511699828901406,0.1594407286258698
window_1,validation,0.025,0.2,price_momentum_5d,short_interest_change,down_10pct_5d,771,50,721,12,126,0.24,0.17475728155339806,0.06524271844660193,1.3733333333333333,0.06524271844660193,-0.05753120665742026,0.18744868238557555,-0.0167931075345682,-0.005035963835532307,-0.011757143699035893,-0.02576451153553706,0.001713764070408026,-0.04341174590487323,-0.014197225469213768,-0.02921452043565946,-0.05953248963204158,0.0013030243420450805,-0.05077018104381172,-0.013037382473066508,-0.03773279857074521,-0.07474239069000904,-0.0026467894935531455,-0.05274852346234418,-0.014011356307782392,-0.03873716715456179,-0.07183760981790885,-0.0025407515761642885,-0.050738860466711444,-0.005860066529805506,-0.04487879393690594,-0.11547263906201528,0.022129812518594298
window_1,validation,0.025,0.1,price_momentum_5d,short_interest_change,down_10pct_5d,771,50,721,12,126,0.24,0.17475728155339806,0.06524271844660193,1.3733333333333333,0.06524271844660193,-0.05337586685159502,0.1944126213592231,-0.0167931075345682,-0.005035963835532307,-0.011757143699035893,-0.025828129782572797,0.0014871603892308944,-0.04341174590487323,-0.014197225469213768,-0.02921452043565946,-0.05869646922598335,0.001237423697588261,-0.05077018104381172,-0.013037382473066508,-0.03773279857074521,-0.07469824334124989,5.828198440645505e-05,-0.05274852346234418,-0.014011356307782392,-0.03873716715456179,-0.07381913375023456,0.00011238241930872,-0.050738860466711444,-0.005860066529805506,-0.04487879393690594,-0.1177530431241581,0.022491251035028262
window_1,validation,0.025,0.05,price_momentum_5d,short_interest_change,down_10pct_5d,771,49,722,12,126,0.24489795918367346,0.1745152354570637,0.07038272372660975,1.403304178814383,0.07038272372660975,-0.0496890723048222,0.20114195262592574,-0.017171859985909105,-0.0050265431618250105,-0.012145316824084096,-0.027170738421295287,0.0016740622967468459,-0.04430971250423493,-0.01417674646238127,-0.030132966041853664,-0.061353966224147675,0.0008866819176228895,-0.052250747775658156,-0.012989162291224777,-0.03926158548443338,-0.0776248288387355,-0.0011152125244580284,-0.05348869309906883,-0.014014775774479144,-0.039473917324589686,-0.07611154200902688,-0.003415575858240801,-0.04796658557587004,-0.006110371604027298,-0.04185621397184274,-0.11071741179909582,0.023068043169444274
window_1,validation,0.025,0.025,price_momentum_5d,short_interest_change,down_10pct_5d,771,37,734,11,127,0.2972972972972973,0.17302452316076294,0.12427277413653437,1.7182379229623326,0.12427277413653437,-0.028573532660726125,0.2716694896531409,-0.01543490895165319,-0.005312661677024572,-0.010122247274628618,-0.02553082699621128,0.0047443827799554745,-0.04607178356667235,-0.014580559763732848,-0.031491223802939505,-0.06986996953715507,0.007204114167484177,-0.056116097584958564,-0.013436193739275303,-0.042679903845683265,-0.08814447163158405,0.004230872049751801,-0.05201797663425673,-0.014734262854987485,-0.03728371377926924,-0.07994196268810776,0.007653380063376374,-0.035116129500457074,-0.007442444413907938,-0.027673685086549136,-0.11520792063154074,0.05701546175990637
window_1,validation,0.025,0.01,price_momentum_5d,short_interest_change,down_10pct_5d,771,20,751,5,133,0.25,0.17709720372836218,0.07290279627163782,1.4116541353383458,0.07290279627163782,-0.10715712383488682,0.2715712383488682,-0.0019694189407871007,-0.005900395370614462,0.003930976429827361,-0.01344415481613104,0.020666877022575407,-0.013044879184026201,-0.016172955093030978,0.003128075909004777,-0.04731752974861371,0.04937488558428437,-0.0218486703399872,-0.015314898013943801,-0.006533772326043397,-0.07657534039676336,0.05820792980858298,-0.015500350579953354,-0.01655074175689647,0.0010503911769431159,-0.059292107405794985,0.06786950572538074,0.022439306210594662,-0.009601647290994985,0.03204095350158965,-0.09069672401676925,0.15930730843761706
