window,evaluation,target,momentum_tail,si_tail,momentum_n,momentum_events,momentum_event_rate,momentum_plus_si_n,momentum_plus_si_events,momentum_plus_si_event_rate,incremental_event_rate_difference,incremental_event_rate_lift
window_1,test,down_7pct_5d,0.025,0.025,894,181,0.20246085011185683,30,13,0.43333333333333335,0.23087248322147652,2.140331491712707
window_1,validation,down_10pct_5d,0.2,0.2,5798,367,0.06329768885822698,228,18,0.07894736842105263,0.015649679562825647,1.247239351785458
window_1,validation,down_10pct_5d,0.2,0.1,5798,367,0.06329768885822698,228,18,0.07894736842105263,0.015649679562825647,1.247239351785458
window_1,validation,down_10pct_5d,0.2,0.05,5798,367,0.06329768885822698,226,18,0.07964601769911504,0.016348328840888063,1.25827686817294
window_1,validation,down_10pct_5d,0.2,0.025,5798,367,0.06329768885822698,184,13,0.07065217391304347,0.0073544850548164925,1.1161888401848121
window_1,validation,down_10pct_5d,0.1,0.2,2971,268,0.09020531807472232,140,16,0.11428571428571428,0.024080396210991964,1.2669509594882729
window_1,validation,down_10pct_5d,0.1,0.1,2971,268,0.09020531807472232,140,16,0.11428571428571428,0.024080396210991964,1.2669509594882729
window_1,validation,down_10pct_5d,0.1,0.05,2971,268,0.09020531807472232,139,16,0.11510791366906475,0.024902595594342436,1.2760657145925052
window_1,validation,down_10pct_5d,0.1,0.025,2971,268,0.09020531807472232,109,12,0.11009174311926606,0.019886425044543743,1.2204573462960429
window_1,validation,down_10pct_5d,0.05,0.2,1542,192,0.1245136186770428,81,15,0.18518518518518517,0.06067156650814237,1.4872685185185184
window_1,validation,down_10pct_5d,0.05,0.1,1542,192,0.1245136186770428,81,15,0.18518518518518517,0.06067156650814237,1.4872685185185184
window_1,validation,down_10pct_5d,0.05,0.05,1542,192,0.1245136186770428,80,15,0.1875,0.0629863813229572,1.505859375
window_1,validation,down_10pct_5d,0.05,0.025,1542,192,0.1245136186770428,58,11,0.1896551724137931,0.06514155373675029,1.5231681034482758
window_1,validation,down_10pct_5d,0.025,0.2,771,138,0.17898832684824903,50,12,0.24,0.06101167315175096,1.3408695652173912
window_1,validation,down_10pct_5d,0.025,0.1,771,138,0.17898832684824903,50,12,0.24,0.06101167315175096,1.3408695652173912
window_1,validation,down_10pct_5d,0.025,0.05,771,138,0.17898832684824903,49,12,0.24489795918367346,0.06590963233542443,1.3682342502218279
window_1,validation,down_10pct_5d,0.025,0.025,771,138,0.17898832684824903,37,11,0.2972972972972973,0.11830897044904828,1.6609870740305523
window_1,test,down_10pct_5d,0.2,0.2,6187,387,0.06255050913205107,199,22,0.11055276381909548,0.048002254687044416,1.7674158908236275
window_1,test,down_10pct_5d,0.2,0.1,6187,387,0.06255050913205107,199,22,0.11055276381909548,0.048002254687044416,1.7674158908236275
window_1,test,down_10pct_5d,0.2,0.05,6187,387,0.06255050913205107,195,22,0.11282051282051282,0.050270003688461753,1.8036705757635991
window_1,test,down_10pct_5d,0.2,0.025,6187,387,0.06255050913205107,152,19,0.125,0.06244949086794893,1.9983850129198968
window_1,test,down_10pct_5d,0.1,0.2,3175,270,0.08503937007874016,127,18,0.14173228346456693,0.05669291338582677,1.6666666666666667
window_1,test,down_10pct_5d,0.1,0.1,3175,270,0.08503937007874016,127,18,0.14173228346456693,0.05669291338582677,1.6666666666666667
window_1,test,down_10pct_5d,0.1,0.05,3175,270,0.08503937007874016,123,18,0.14634146341463414,0.06130209333589398,1.7208672086720866
window_1,test,down_10pct_5d,0.1,0.025,3175,270,0.08503937007874016,98,16,0.16326530612244897,0.07822593604370881,1.9198790627362055
window_1,test,down_10pct_5d,0.05,0.2,1635,183,0.11192660550458716,75,15,0.2,0.08807339449541285,1.7868852459016393
window_1,test,down_10pct_5d,0.05,0.1,1635,183,0.11192660550458716,75,15,0.2,0.08807339449541285,1.7868852459016393
window_1,test,down_10pct_5d,0.05,0.05,1635,183,0.11192660550458716,72,15,0.20833333333333334,0.09640672782874618,1.8613387978142075
window_1,test,down_10pct_5d,0.05,0.025,1635,183,0.11192660550458716,55,13,0.23636363636363636,0.1244370308590492,2.11177347242921
window_1,test,down_10pct_5d,0.025,0.2,894,124,0.13870246085011187,43,11,0.2558139534883721,0.11711149263826023,1.8443360840210052
window_1,test,down_10pct_5d,0.025,0.1,894,124,0.13870246085011187,43,11,0.2558139534883721,0.11711149263826023,1.8443360840210052
window_1,test,down_10pct_5d,0.025,0.05,894,124,0.13870246085011187,40,11,0.275,0.13629753914988815,1.9826612903225806
window_1,test,down_10pct_5d,0.025,0.025,894,124,0.13870246085011187,30,9,0.3,0.16129753914988812,2.1629032258064513
window_2,validation,down_5pct_5d,0.2,0.2,6187,1178,0.1903992241797317,199,56,0.2814070351758794,0.09100781099614769,1.4779841482454716
window_2,validation,down_5pct_5d,0.2,0.1,6187,1178,0.1903992241797317,199,56,0.2814070351758794,0.09100781099614769,1.4779841482454716
window_2,validation,down_5pct_5d,0.2,0.05,6187,1178,0.1903992241797317,195,56,0.28717948717948716,0.09678026299975545,1.5083017717992249
window_2,validation,down_5pct_5d,0.2,0.025,6187,1178,0.1903992241797317,152,44,0.2894736842105263,0.09907446003079462,1.5203511750513805
window_2,validation,down_5pct_5d,0.1,0.2,3175,726,0.22866141732283465,127,37,0.29133858267716534,0.06267716535433068,1.2741046831955922
window_2,validation,down_5pct_5d,0.1,0.1,3175,726,0.22866141732283465,127,37,0.29133858267716534,0.06267716535433068,1.2741046831955922
window_2,validation,down_5pct_5d,0.1,0.05,3175,726,0.22866141732283465,123,37,0.3008130081300813,0.07215159080724667,1.3155389818360994
window_2,validation,down_5pct_5d,0.1,0.025,3175,726,0.22866141732283465,98,30,0.30612244897959184,0.07746103165675719,1.3387586439534491
window_2,validation,down_5pct_5d,0.05,0.2,1635,431,0.2636085626911315,75,25,0.3333333333333333,0.06972477064220184,1.2645011600928076
window_2,validation,down_5pct_5d,0.05,0.1,1635,431,0.2636085626911315,75,25,0.3333333333333333,0.06972477064220184,1.2645011600928076
window_2,validation,down_5pct_5d,0.05,0.05,1635,431,0.2636085626911315,72,25,0.3472222222222222,0.08361365953109073,1.3171887084300078
window_2,validation,down_5pct_5d,0.05,0.025,1635,431,0.2636085626911315,55,19,0.34545454545454546,0.08184598276341398,1.3104830204598188
window_2,validation,down_5pct_5d,0.025,0.2,894,254,0.2841163310961969,43,18,0.4186046511627907,0.13448832006659384,1.4733565281084051
window_2,validation,down_5pct_5d,0.025,0.1,894,254,0.2841163310961969,43,18,0.4186046511627907,0.13448832006659384,1.4733565281084051
window_2,validation,down_5pct_5d,0.025,0.05,894,254,0.2841163310961969,40,18,0.45,0.16588366890380313,1.5838582677165354
window_2,validation,down_5pct_5d,0.025,0.025,894,254,0.2841163310961969,30,14,0.4666666666666667,0.1825503355704698,1.64251968503937
window_2,validation,down_7pct_5d,0.2,0.2,6187,740,0.1196056246969452,199,43,0.21608040201005024,0.09647477731310504,1.8066073611299742
